Date,Clicks,Impressions,CTR,Position
2025-11-11,0,0,,
2025-11-12,0,0,,
2025-11-13,0,18,0%,7.9
2025-11-14,1,52,1.92%,9.4
2025-11-15,0,51,0%,8.2
2025-11-16,0,101,0%,7
2025-11-17,0,144,0%,7.6
2025-11-18,1,164,0.61%,8.1
2025-11-19,0,145,0%,10.8
2025-11-20,1,190,0.53%,10.7
2025-11-21,2,165,1.21%,8.9
2025-11-22,1,126,0.79%,14.9
2025-11-23,0,200,0%,10.2
2025-11-24,1,336,0.3%,9.9
2025-11-25,0,227,0%,8.7
2025-11-26,0,275,0%,7.9
2025-11-27,0,314,0%,7.8
2025-11-28,0,221,0%,8.8
2025-11-29,0,290,0%,7.8
2025-11-30,0,310,0%,12.7
2025-12-01,2,319,0.63%,13.1
2025-12-02,2,326,0.61%,12
2025-12-03,2,415,0.48%,9.4
2025-12-04,3,247,1.21%,10.4
2025-12-05,1,251,0.4%,14.9
2025-12-06,1,170,0.59%,19.6
2025-12-07,3,220,1.36%,17.4
2025-12-08,0,249,0%,20.8
2025-12-09,3,191,1.57%,21.1
2025-12-10,2,252,0.79%,15.2
2025-12-11,1,226,0.44%,15.6
2025-12-12,4,234,1.71%,14.5
2025-12-13,2,260,0.77%,15.9
2025-12-14,3,259,1.16%,10.4
2025-12-15,1,299,0.33%,20.6
2025-12-16,2,321,0.62%,16.9
2025-12-17,0,242,0%,16.1
2025-12-18,5,298,1.68%,12.8
2025-12-19,2,223,0.9%,10.8
2025-12-20,3,233,1.29%,8
2025-12-21,0,171,0%,9.4
2025-12-22,0,235,0%,8.5
2025-12-23,2,238,0.84%,9.1
2025-12-24,1,153,0.65%,10.2
2025-12-25,1,162,0.62%,7.1
2025-12-26,1,214,0.47%,7.4
2025-12-27,1,205,0.49%,7.5
2025-12-28,1,176,0.57%,6.9
2025-12-29,3,230,1.3%,7.3
2025-12-30,2,275,0.73%,6.8
2025-12-31,0,422,0%,7.6
2026-01-01,0,333,0%,9.4
2026-01-02,3,600,0.5%,6.9
2026-01-03,0,338,0%,8.6
2026-01-04,0,1082,0%,7.6
