Country,Clicks,Impressions,CTR,Position
United States,41,10362,0.4%,10.42
United Kingdom,5,258,1.94%,15.66
India,5,121,4.13%,16.56
France,4,150,2.67%,7.45
Russia,3,54,5.56%,19.93
Brazil,2,148,1.35%,12.64
Germany,1,187,0.53%,10.82
Mexico,1,69,1.45%,14.13
Sweden,1,26,3.85%,7.65
Malaysia,1,19,5.26%,11.21
South Korea,0,220,0%,7.78
Canada,0,158,0%,9.45
Japan,0,143,0%,9.27
Spain,0,94,0%,10.3
Netherlands,0,83,0%,10.63
Singapore,0,73,0%,13.05
Italy,0,72,0%,14.51
Australia,0,63,0%,11.49
Indonesia,0,48,0%,21.58
Taiwan,0,44,0%,8.7
United Arab Emirates,0,43,0%,6.72
Turkey,0,38,0%,9.26
Poland,0,36,0%,6.69
Belgium,0,34,0%,6.94
Vietnam,0,34,0%,20.74
China,0,33,0%,6.39
Argentina,0,31,0%,15.45
Israel,0,31,0%,19.81
Switzerland,0,29,0%,11.79
Hong Kong,0,28,0%,9.46
Thailand,0,28,0%,17.32
Ukraine,0,27,0%,19.37
Portugal,0,25,0%,9.52
Austria,0,23,0%,6.65
Pakistan,0,20,0%,14.35
Philippines,0,20,0%,23.9
Finland,0,19,0%,6.53
Romania,0,19,0%,17.11
Saudi Arabia,0,17,0%,15.35
Denmark,0,16,0%,6.12
Ecuador,0,15,0%,14.53
Ireland,0,14,0%,47.71
Czechia,0,13,0%,8.23
Greece,0,13,0%,11.46
Nigeria,0,13,0%,16.15
Seychelles,0,12,0%,5.58
Chile,0,12,0%,25.17
Hungary,0,11,0%,6.27
Kazakhstan,0,11,0%,7.18
Norway,0,11,0%,8
Iraq,0,11,0%,8.73
Tunisia,0,11,0%,11.82
Colombia,0,11,0%,17
Uzbekistan,0,10,0%,4
Venezuela,0,10,0%,12
Morocco,0,9,0%,8.56
South Africa,0,9,0%,20
Kenya,0,8,0%,4.75
Algeria,0,8,0%,7.75
Mongolia,0,8,0%,10
Peru,0,8,0%,24.5
Bahrain,0,7,0%,7.86
Egypt,0,7,0%,16.86
Iran,0,7,0%,16.86
Bulgaria,0,7,0%,27.29
Azerbaijan,0,6,0%,4.67
Jordan,0,6,0%,4.67
Croatia,0,6,0%,8.17
Puerto Rico,0,6,0%,8.5
Luxembourg,0,6,0%,9.67
Lebanon,0,6,0%,10.67
Bolivia,0,6,0%,28.83
Cyprus,0,5,0%,4.8
Albania,0,5,0%,6.4
Nepal,0,5,0%,9
Jamaica,0,5,0%,9.4
Slovakia,0,5,0%,9.8
Bangladesh,0,5,0%,23.8
Georgia,0,5,0%,24
Serbia,0,5,0%,40.2
Malta,0,4,0%,5.75
Latvia,0,4,0%,6.5
Ethiopia,0,4,0%,7
Dominican Republic,0,4,0%,7.5
Lithuania,0,4,0%,7.5
Oman,0,4,0%,7.75
Maldives,0,4,0%,9
Costa Rica,0,4,0%,9.5
New Zealand,0,4,0%,26
Uruguay,0,4,0%,30.75
Estonia,0,3,0%,6.67
Qatar,0,3,0%,7.67
Unknown Region,0,3,0%,15
Panama,0,3,0%,32.67
Cambodia,0,3,0%,34.67
Macedonia,0,2,0%,4
Barbados,0,2,0%,4.5
Bosnia & Herzegovina,0,2,0%,5
Palestine,0,2,0%,5.5
Trinidad & Tobago,0,2,0%,5.5
Aruba,0,2,0%,6
Guatemala,0,2,0%,6
Suriname,0,2,0%,6
Kuwait,0,2,0%,7.5
Cayman Islands,0,2,0%,8
Iceland,0,2,0%,9.5
Bermuda,0,2,0%,10
Honduras,0,2,0%,14.5
Paraguay,0,2,0%,15.5
Angola,0,2,0%,40
Belarus,0,2,0%,41.5
Ghana,0,2,0%,55
Congo - Kinshasa,0,1,0%,3
Moldova,0,1,0%,3
Tanzania,0,1,0%,4
Afghanistan,0,1,0%,6
Myanmar (Burma),0,1,0%,6
Slovenia,0,1,0%,6
Nicaragua,0,1,0%,7
Armenia,0,1,0%,8
Martinique,0,1,0%,8
El Salvador,0,1,0%,8
Caribbean Netherlands,0,1,0%,9
Liechtenstein,0,1,0%,9
Monaco,0,1,0%,9
Rwanda,0,1,0%,9
St. Barthélemy,0,1,0%,10
Central African Republic,0,1,0%,10
Laos,0,1,0%,10
Mali,0,1,0%,10
American Samoa,0,1,0%,11
Kyrgyzstan,0,1,0%,11
Sierra Leone,0,1,0%,11
Yemen,0,1,0%,11
Jersey,0,1,0%,12
Sri Lanka,0,1,0%,12
Libya,0,1,0%,14
Benin,0,1,0%,32
Cuba,0,1,0%,86
Syria,0,1,0%,87
